"predictor" "output"
"1230" "consumes" "me"
"1231" "::number::" "problems"
"1232" "problems" "just"
"1233" "just" "came"
"1234" "came" "on"
"1235" "on" "your"
"1236" "your" "music"
"1237" "music" "thing"
"1238" "thing" "and"
"1239" "and" "i"
"1240" "i" "have"
"1241" "have" "to"
"1242" "to" "say"
"1243" "say" "beezy"
"1244" "beezy" "is"
"1245" "is" "still"
"1246" "still" "about"
"1247" "about" "::number::"
"1248" "::number::" "of"
"1249" "of" "mine"
"1250" "mine" "the"
"1251" "the" "other"
"1252" "other" "is"
"1253" "is" "you"
"1254" "you" "aren't"
"1255" "aren't" "home"
"1256" "home" "so"
"1257" "you" "used"
"1258" "used" "our"
"1259" "our" "green"
"1260" "green" "tips"
"1261" "tips" "for"
"1262" "for" "your"
"1263" "your" "mailing"
"1264" "mailing" "list"
"1265" "list" "and"
"1266" "and" "are"
"1267" "are" "using"
"1268" "using" "eco"
"1269" "eco" "friendly"
"1270" "friendly" "paper"
"1271" "paper" "now"
"1272" "now" "its"
"1273" "its" "time"
"1274" "time" "to"
"1275" "to" "talk"
"1276" "talk" "about"
"1277" "about" "the"
"1278" "the" "actual"
"1279" "actual" "printing"
"1280" "printing" "and"
"1281" "and" "mailing"
"1282" "you" "are"
"1283" "are" "welcome"
"1284" "welcome" "surprised"
"1285" "surprised" "that"
"1286" "that" "stayin'"
"1287" "stayin'" "alive"
"1288" "alive" "isn't"
"1289" "isn't" "on"
"1290" "on" "there"
"1291" "there" "or"
"1292" "or" "brown"
"1293" "brown" "sugar"
"1294" "sugar" "they"
"1295" "they" "wear"
"1296" "wear" "them"
"1297" "them" "out"
"1298" "out" "at"
"1299" "at" "the"
"1300" "the" "bar"
"1301" "bar" "nearby"
"1302" "rt" "once"
"1303" "once" "a"
"1304" "a" "cheater"
"1305" "cheater" "always"
"1306" "always" "a"
"1307" "a" "cheater"
"1308" "our" "fearless"
"1309" "fearless" "leader"
"1310" "leader" "bob"
"1311" "bob" "duffy"
"1312" "duffy" "is"
"1313" "is" "still"
"1314" "still" "healing"
"1315" "healing" "at"
"1316" "at" "home"
"1317" "home" "we're"
"1318" "we're" "wishing"
"1319" "wishing" "him"
"1320" "him" "the"
"1321" "the" "best"
"1322" "best" "and"
"1323" "and" "get"
"1324" "get" "well"
"1325" "well" "soon"
"1326" "#ifyoureallylikedme" "then"
"1327" "then" "you"
"1328" "you" "would"
"1329" "would" "shut"
"1330" "shut" "the"
"1331" "the" "fuck"
"1332" "fuck" "up"
"1333" "up" "go"
"1334" "go" "in"
"1335" "in" "the"
"1336" "the" "kitchen"
"1337" "kitchen" "and"
"1338" "and" "make"
"1339" "make" "me"
"1340" "me" "a"
"1341" "a" "sandwich"
"1342" "rofl" "omg"
"1343" "omg" "i"
"1344" "i" "love"
"1345" "love" "u"
"1346" "u" "lol"
"1347" "i'm" "not"
"1348" "not" "above"
"1349" "above" "pretending"
"1350" "pretending" "to"
"1351" "to" "be"
"1352" "be" "a"
"1353" "a" "lesbian"
"1354" "lesbian" "for"
"1355" "for" "a"
"1356" "a" "free"
"1357" "free" "shot"
"1358" "we've" "got"
"1359" "got" "no"
"1360" "no" "information"
"1361" "information" "that"
"1362" "that" "makes"
"1363" "makes" "us"
"1364" "us" "feel"
"1365" "feel" "any"
"1366" "any" "better"
"1367" "better" "or"
"1368" "or" "worse"
"1369" "worse" "than"
"1370" "than" "monday"
"1371" "monday" "but"
"1372" "but" "some"
"1373" "some" "investors"
"1374" "investors" "pounced"
"1375" "pounced" "because"
"1376" "because" "they"
"1377" "they" "believed"
"1378" "believed" "there"
"1379" "there" "were"
"1380" "were" "good"
"1381" "good" "values"
"1382" "values" "to"
"1383" "to" "be"
"1384" "be" "found"
"1385" "found" "in"
"1386" "in" "stocks"
"1387" "stocks" "said"
"1388" "said" "peter"
"1389" "peter" "coleman"
"1390" "coleman" "head"
"1391" "head" "of"
"1392" "of" "equity"
"1393" "equity" "research"
"1394" "research" "at"
"1395" "at" "investment"
"1396" "investment" "bank"
"1397" "bank" "jmp"
"1398" "jmp" "securities"
"1399" "securities" "this"
"1400" "this" "is"
"1401" "is" "a"
"1402" "a" "relief"
"1403" "relief" "rally"
"1404" "i" "need"
"1405" "need" "::number::"
"1406" "::number::" "more"
"1407" "more" "followers"
"1408" "followers" "for"
"1409" "for" "::number::"
"1410" "::number::" "::number::"
"1411" "::number::" "follow"
"1412" "follow" "me"
"1413" "i" "really"
"1414" "really" "didnt"
"1415" "didnt" "know"
"1416" "know" "the"
"1417" "the" "father"
"1418" "father" "that"
"1419" "that" "well"
"1420" "well" "russo"
"1421" "russo" "said"
"1422" "someone" "special's"
"1423" "special's" "birthday"
"1424" "birthday" "is"
"1425" "is" "tomorrow"
"1426" "tomorrow" "::number::"
"1427" "#vaumc" "::number::"
"1428" "::number::" "how"
"1429" "how" "can"
"1430" "can" "those"
"1431" "those" "who"
"1432" "who" "are"
"1433" "are" "wheelchair"
"1434" "wheelchair" "bound"
"1435" "bound" "participate"
"1436" "participate" "in"
"1437" "in" "a"
"1438" "a" "standing"
"1439" "standing" "vote"
"1440" "::number::" "p"
"1441" "p" "m"
"1442" "m" "june"
"1443" "june" "::number::"
"1444" "::number::" "people"
"1445" "people" "will"
"1446" "will" "be"
"1447" "be" "asked"
"1448" "asked" "to"
"1449" "to" "continue"
"1450" "continue" "strategies"
"1451" "strategies" "and"
"1452" "and" "mapping"
"1453" "mapping" "which"
"1454" "which" "would"
"1455" "would" "involve"
"1456" "involve" "decisions"
"1457" "decisions" "about"
"1458" "about" "where"
"1459" "where" "to"
"1460" "to" "locate"
"1461" "locate" "businesses"
"1462" "businesses" "or"
"1463" "or" "hotels"
"1464" "::number::" "blue"
"1465" "blue" "side"
"1466" "side" "of"
"1467" "of" "life"
"1468" "life" "livin'"
"1469" "livin'" "blues"
"1470" "blues" "christiansen"
"1471" "christiansen" "::number::"
"1472" "::number::" "::number::"
"1473" "why" "go"
"1474" "go" "to"
"1475" "to" "the"
"1476" "the" "london"
"1477" "london" "book"
"1478" "book" "fair"
"1479" "fair" "::number::"
"1480" "::number::" "by"
"1481" "by" "lucy"
"1482" "lucy" "coats"
"1483" "coats" "from"
"1484" "from" "scribble"
"1485" "scribble" "city"
"1486" "city" "central"
"1487" "central" "peek"
"1488" "peek" "the"
"1489" "the" "seminar"
"1490" "seminar" "i"
"1491" "i" "got"
"1492" "got" "most"
"1493" "most" "of"
"1494" "of" "though"
"1495" "though" "was"
"1496" "was" "the"
"1497" "the" "one"
"1498" "one" "bali"
"1499" "bali" "rai"
"1500" "rai" "organised"
"1501" "organised" "he"
"1502" "he" "had"
"1503" "had" "arranged"
"1504" "arranged" "for"
"1505" "for" "a"
"1506" "a" "panel"
"1507" "panel" "of"
"1508" "of" "teenagers"
"1509" "teenagers" "from"
"1510" "from" "two"
"1511" "two" "london"
"1512" "london" "schools"
"1513" "schools" "to"
"1514" "to" "come"
"1515" "come" "and"
"1516" "and" "talk"
"1517" "talk" "to"
"1518" "to" "us"
"1519" "us" "about"
"1520" "about" "what"
"1521" "what" "they"
"1522" "they" "wanted"
"1523" "wanted" "to"
"1524" "to" "see"
"1525" "see" "in"
"1526" "in" "a"
"1527" "a" "novel"
"1528" "novel" "note"
"1529" "note" "includes"
"1530" "includes" "lengthy"
"1531" "lengthy" "teen"
"1532" "teen" "comments"
"1533" "we" "weren't"
"1534" "weren't" "going"
"1535" "going" "to"
"1536" "to" "say"
"1537" "say" "anything"
"1538" "anything" "but"
"1539" "but" "since"
"1540" "since" "you"
"1541" "you" "mention"
"1542" "mention" "it"
"1543" "he" "fired"
"1544" "fired" "the"
"1545" "the" "big"
"1546" "big" "show"
"1547" "show" "wtf"
"1548" "wtf" "you"
"1549" "you" "can't"
"1550" "can't" "do"
"1551" "do" "that"
"1552" "i" "officially"
"1553" "officially" "hate"
"1554" "hate" "moving"
"1555" "now" "my"
"1556" "my" "question"
"1557" "question" "to"
"1558" "to" "everyone"
"1559" "everyone" "is"
"1560" "is" "this"
"1561" "this" "why"
"1562" "why" "do"
"1563" "do" "you"
"1564" "you" "need"
"1565" "need" "so"
"1566" "so" "much"
"1567" "much" "power"
"1568" "power" "reduce"
"1569" "reduce" "your"
"1570" "your" "needs"
"1571" "needs" "and"
"1572" "and" "you"
"1573" "you" "reduce"
"1574" "reduce" "what"
"1575" "what" "you"
"1576" "you" "need"
"1577" "need" "to"
"1578" "to" "run"
"1579" "run" "less"
"1580" "less" "power"
"1581" "power" "used"
"1582" "used" "equals"
"1583" "equals" "less"
"1584" "less" "power"
"1585" "power" "needed"
"1586" "needed" "switch"
"1587" "switch" "to"
"1588" "to" "led"
"1589" "led" "lights"
"1590" "lights" "no"
"1591" "no" "heat"
"1592" "heat" "no"
"1593" "no" "loss"
"1594" "loss" "of"
"1595" "of" "power"
"1596" "power" "and"
"1597" "and" "take"
"1598" "take" "very"
"1599" "very" "little"
"1600" "little" "energy"
"1601" "energy" "i"
"1602" "i" "forgot"
"1603" "forgot" "after"
"1604" "after" "xmas"
"1605" "xmas" "time"
"1606" "time" "to"
"1607" "to" "go"
"1608" "go" "and"
"1609" "and" "get"
"1610" "get" "a"
"1611" "a" "couple"
"1612" "couple" "of"
"1613" "of" "strings"
"1614" "strings" "of"
"1615" "of" "christmas"
"1616" "christmas" "led"
"1617" "led" "lights"
"1618" "lights" "to"
"1619" "to" "use"
"1620" "use" "in"
"1621" "in" "the"
"1622" "the" "camper"
"1623" "camper" "lots"
"1624" "lots" "of"
"1625" "of" "lights"
"1626" "lights" "and"
"1627" "and" "very"
"1628" "very" "little"
"1629" "little" "power"
"1630" "power" "input"
"1631" "i" "don't"
"1632" "don't" "see"
"1633" "see" "a"
"1634" "a" "single"
"1635" "single" "logical"
"1636" "logical" "reason"
"1637" "reason" "to"
"1638" "to" "support"
"1639" "support" "any"
"1640" "any" "candidate"
"1641" "candidate" "other"
"1642" "other" "than"
"1643" "than" "ron"
"1644" "ron" "paul"
"1645" "paul" "literally"
"1646" "day" "didnt"
"1647" "didnt" "go"
"1648" "go" "as"
"1649" "as" "planed"
"1650" "planed" "but"
"1651" "but" "its"
"1652" "its" "all"
"1653" "all" "gud"
"1654" "gud" "things"
"1655" "things" "never"
"1656" "never" "do"
"1657" "do" "hmu"
"1658" "sometimes" "gadaffi"
"1659" "gadaffi" "spoke"
"1660" "spoke" "about"
"1661" "about" "socialism"
"1662" "socialism" "later"
"1663" "later" "he"
"1664" "he" "practised"
"1665" "practised" "neo"
"1666" "neo" "conservative"
"1667" "conservative" "capitalism"
"1668" "capitalism" "one"
"1669" "one" "reason"
"1670" "reason" "why"
"1671" "why" "many"
"1672" "many" "people"
"1673" "people" "joined"
"1674" "joined" "the"
"1675" "the" "uprising"
"1676" "uprising" "against"
"1677" "against" "him"
"1678" "him" "a"
"1679" "a" "reason"
"1680" "reason" "which"
"1681" "which" "the"
"1682" "the" "national"
"1683" "national" "transitional"
"1684" "transitional" "council"
"1685" "council" "does"
"1686" "does" "not"
"1687" "not" "talk"
"1688" "talk" "about"
"1689" "about" "now"
"1690" "now" "as"
"1691" "as" "some"
"1692" "some" "of"
"1693" "of" "them"
"1694" "them" "used"
"1695" "used" "to"
"1696" "to" "be"
"1697" "be" "gadaffis"
"1698" "gadaffis" "enforcers"
"1699" "enforcers" "of"
"1700" "of" "capitalism"
"1701" "capitalism" "which"
"1702" "which" "they"
"1703" "they" "continue"
"1704" "continue" "to"
"1705" "to" "enforce"
"1706" "enforce" "now"
"1707" "oh" "yeah"
"1708" "i" "was"
"1709" "was" "picking"
"1710" "picking" "up"
"1711" "up" "my"
"1712" "my" "mail"
"1713" "mail" "today"
"1714" "today" "when"
"1715" "when" "this"
"1716" "this" "little"
"1717" "little" "guy"
"1718" "guy" "came"
"1719" "came" "trotting"
"1720" "trotting" "down"
"1721" "down" "the"
"1722" "the" "street"
"1723" "street" "toward"
"1724" "toward" "me"
"1725" "me" "stepping"
"1726" "stepping" "carefully"
"1727" "carefully" "around"
"1728" "around" "puddles"
"1729" "puddles" "left"
"1730" "left" "by"
"1731" "by" "the"
"1732" "the" "quickly"
"1733" "quickly" "melting"
"1734" "melting" "snow"
"1735" "snow" "on"
"1736" "on" "this"
"1737" "this" "suddenly"
"1738" "suddenly" "spring"
"1739" "spring" "like"
"1740" "like" "february"
"1741" "february" "day"
"1742" "do" "you"
"1743" "you" "know"
"1744" "know" "what"
"1745" "what" "an"
"1746" "an" "#ironman"
"1747" "#ironman" "champion"
"1748" "champion" "does"
"1749" "does" "after"
"1750" "after" "breaking"
"1751" "breaking" "course"
"1752" "course" "record"
"1753" "record" "golf"
"1754" "golf" "of"
"1755" "of" "course"
"1756" "course" "crowie"
"1757" "crowie" "spotted"
"1758" "spotted" "at"
"1759" "at" "#kona"
"1760" "#kona" "country"
"1761" "country" "club"
"1762" "thanks" "for"
"1763" "for" "successfully"
"1764" "successfully" "making"
"1765" "making" "my"
"1766" "my" "day"
"1767" "day" "and"
"1768" "and" "embarrassing"
"1769" "embarrassing" "me"
"1770" "me" "at"
"1771" "at" "the"
"1772" "the" "same"
"1773" "same" "time"
"1774" "time" "love"
"1775" "love" "the"
"1776" "the" "birthday"
"1777" "birthday" "flowers"
"1778" "look" "at"
"1779" "at" "it"
"1780" "it" "this"
"1781" "this" "way"
"1782" "way" "said"
"1783" "said" "rauchway"
"1784" "rauchway" "the"
"1785" "the" "same"
"1786" "same" "time"
"1787" "time" "is"
"1788" "is" "a"
"1789" "a" "phenomenal"
"1790" "phenomenal" "period"
"1791" "period" "of"
"1792" "of" "immigration"
"1793" "immigration" "from"
"1794" "from" "europe"
"1795" "europe" "and"
"1796" "and" "there's"
"1797" "there's" "no"
"1798" "no" "italian"
"1799" "italian" "exclusion"
"1800" "exclusion" "act"
"1801" "u" "could"
"1802" "could" "meet"
"1803" "meet" "anyone"
"1804" "anyone" "of"
"1805" "of" "these"
"1806" "these" "at"
"1807" "::number::" "serve"
"1808" "serve" "with"
"1809" "with" "chilli"
"1810" "chilli" "sauce"
"1811" "so" "i"
"1812" "i" "was"
"1813" "was" "almost"
"1814" "almost" "done"
"1815" "done" "w"
"1816" "w" "my"
"1817" "my" "essay"
"1818" "essay" "i"
"1819" "i" "was"
"1820" "was" "procrastinating"
"1821" "procrastinating" "my"
"1822" "my" "computer"
"1823" "computer" "acts"
"1824" "acts" "up"
"1825" "up" "and"
"1826" "and" "smart"
"1827" "smart" "me"
"1828" "me" "didn"
"1829" "didn" "save"
"1830" "save" "anythin"
"1831" "anythin" "essays"
"1832" "essays" "gone"
"1833" "can't" "believe"
"1834" "believe" "i'm"
"1835" "i'm" "already"
"1836" "already" "setting"
"1837" "setting" "up"
"1838" "up" "a"
"1839" "a" "blog"
"1840" "blog" "post"
"1841" "post" "about"
"1842" "about" "what"
"1843" "what" "to"
"1844" "to" "wear"
"1845" "wear" "for"
"1846" "for" "memorial"
"1847" "memorial" "day"
"1848" "day" "weekend"
"1849" "weekend" "summer"
"1850" "summer" "here"
"1851" "here" "i"
"1852" "i" "come"
"1853" "the" "attacks"
"1854" "attacks" "are"
"1855" "are" "real"
"1856" "real" "stealthy"
"1857" "stealthy" "persistent"
"1858" "persistent" "and"
"1859" "and" "can"
"1860" "can" "devastate"
"1861" "devastate" "our"
"1862" "our" "nation"
"1863" "london" "and"
"1864" "and" "france"
"1865" "france" "are"
"1866" "are" "both"
"1867" "both" "'home'"
"1868" "'home'" "to"
"1869" "to" "me"
"1870" "me" "now"
"1871" "now" "but"
"1872" "but" "france"
"1873" "france" "well"
"1874" "well" "france"
"1875" "france" "she"
"1876" "she" "has"
"1877" "has" "my"
"1878" "my" "heart"
"1879" "heart" "xv"
"1880" "all" "of"
"1881" "of" "that"
"1882" "that" "to"
"1883" "to" "say"
"1884" "say" "ill"
"1885" "ill" "be"
"1886" "be" "posting"
"1887" "posting" "new"
"1888" "new" "music"
"1889" "music" "more"
"1890" "more" "often"
"1891" "often" "than"
"1892" "than" "just"
"1893" "just" "once"
"1894" "once" "a"
"1895" "a" "week"
"1896" "week" "enjoy"
"1897" "enjoy" "this"
"1898" "this" "new"
"1899" "new" "band"
"1900" "band" "called"
"1901" "called" "tanlines"
"1902" "tanlines" "their"
"1903" "their" "album"
"1904" "album" "mixed"
"1905" "mixed" "emotions"
"1906" "emotions" "is"
"1907" "is" "currently"
"1908" "currently" "streaming"
"1909" "streaming" "on"
"1910" "on" "npr"
"1911" "npr" "they"
"1912" "they" "will"
"1913" "will" "be"
"1914" "be" "playing"
"1915" "playing" "the"
"1916" "the" "doug"
"1917" "doug" "fir"
"1918" "fir" "on"
"1919" "on" "april"
"1920" "april" "::number::"
"1921" "::number::" "th"
"1922" "th" "for"
"1923" "for" "::number::"
"1924" "::number::" "so"
"1925" "so" "go"
"1926" "go" "get"
"1927" "get" "tickets"
"1928" "tickets" "if"
"1929" "if" "you"
"1930" "you" "like"
"1931" "like" "them"
"1932" "designing" "the"
"1933" "the" "mobile"
"1934" "mobile" "experience"
"1935" "experience" "first"
"1936" "first" "is"
"1937" "is" "an"
"1938" "an" "excellent"
"1939" "excellent" "way"
"1940" "way" "to"
"1941" "to" "convince"
"1942" "convince" "people"
"1943" "people" "to"
"1944" "to" "keep"
"1945" "keep" "things"
"1946" "things" "simple"
"1947" "morning" "dolls"
"1948" "dolls" "u"
"1949" "u" "can"
"1950" "can" "do"
"1951" "do" "anything"
"1952" "anything" "just"
"1953" "just" "remember"
"1954" "remember" "the"
"1955" "the" "::number::"
"1956" "::number::" "c's"
"1957" "c's" "curiosity"
"1958" "curiosity" "confidence"
"1959" "confidence" "courage"
"1960" "courage" "constancy"
"1961" "constancy" "they"
"1962" "they" "worked"
"1963" "worked" "for"
"1964" "for" "walt"
"1965" "walt" "disney"
"1966" "disney" "be"
"1967" "be" "greater"
"1968" "deputy" "registrar"
"1969" "registrar" "of"
"1970" "of" "titles"
"1971" "just" "finished"
"1972" "finished" "watching"
"1973" "watching" "the"
"1974" "the" "recent"
"1975" "recent" "episode"
"1976" "episode" "dale"
"1977" "dale" "i"
"1978" "i" "miss"
"1979" "miss" "you"
"1980" "you" "already"
"1981" "i'm" "going"
"1982" "going" "to"
"1983" "to" "go"
"1984" "go" "deaf"
"1985" "deaf" "dealing"
"1986" "dealing" "with"
"1987" "with" "him"
"1988" "him" "lol"
"1989" "not" "trying"
"1990" "trying" "::number::"
"1991" "::number::" "spam"
"1992" "spam" "but"
"1993" "but" "have"
"1994" "have" "u"
"1995" "u" "heard"
"1996" "heard" "about"
"1997" "about" "this"
"1998" "this" "guy"
"1999" "guy" "who's"
"2000" "who's" "trying"
"2001" "trying" "to"
"2002" "to" "keep"
"2003" "keep" "michael"
"2004" "michael" "jackson's"
"2005" "jackson's" "legacy"
"2006" "legacy" "alive"
"2007" "alive" "he"
"2008" "he" "needs"
"2009" "needs" "our"
"2010" "our" "help"
"2011" "yours" "too"
"2012" "too" "omgee"
"2013" "omgee" "its"
"2014" "its" "so"
"2015" "so" "annoying"
"2016" "i" "went"
"2017" "went" "to"
"2018" "to" "work"
"2019" "work" "this"
"2020" "this" "morning"
"2021" "morning" "even"
"2022" "even" "though"
"2023" "though" "i"
"2024" "i" "still"
"2025" "still" "felt"
"2026" "felt" "like"
"2027" "like" "dead"
"2028" "dead" "meat"
"2029" "meat" "everyone"
"2030" "everyone" "i"
"2031" "i" "met"
"2032" "met" "in"
"2033" "in" "offices"
"2034" "offices" "corridors"
"2035" "corridors" "and"
"2036" "and" "the"
"2037" "the" "dining"
"2038" "dining" "hall"
"2039" "hall" "inquired"
"2040" "inquired" "about"
"2041" "about" "my"
"2042" "my" "precious"
"2043" "precious" "health"
"2044" "health" "every"
"2045" "every" "meeting"
"2046" "meeting" "had"
"2047" "had" "happened"
"2048" "happened" "without"
"2049" "without" "me"
"2050" "me" "and"
"2051" "and" "the"
"2052" "the" "world"
"2053" "world" "is"
"2054" "is" "still"
"2055" "still" "there"
"2056" "fellas" "today"
"2057" "today" "is"
"2058" "is" "your"
"2059" "your" "chance"
"2060" "chance" "to"
"2061" "to" "be"
"2062" "be" "real"
"2063" "real" "men"
"2064" "men" "treat"
"2065" "treat" "every"
"2066" "every" "mother"
"2067" "mother" "you"
"2068" "you" "come"
"2069" "come" "in"
"2070" "in" "contact"
"2071" "contact" "with"
"2072" "with" "like"
"2073" "like" "a"
"2074" "a" "queen"
"2075" "queen" "she's"
"2076" "she's" "earned"
"2077" "earned" "it"
"2078" "songs" "bring"
"2079" "bring" "out"
"2080" "out" "#capricorn's"
"2081" "#capricorn's" "tender"
"2082" "tender" "heart"
"2083" "just" "installing"
"2084" "installing" "twitteroo"
"2085" "yay" "watching"
"2086" "watching" "the"
"2087" "the" "fairly"
"2088" "fairly" "oddparents"
"2089" "oddparents" "c"
"2090" "c" "no"
"2091" "no" "studying"
"2092" "studying" "anymore"
"2093" "speeding" "home"
"2094" "home" "from"
"2095" "from" "work"
"2096" "work" "to"
"2097" "to" "see"
"2098" "see" "my"
"2099" "my" "sisters"
"2100" "sisters" "step"
"2101" "mayor" "rothschild"
"2102" "rothschild" "wants"
"2103" "wants" "to"
"2104" "to" "rid"
"2105" "rid" "negative"
"2106" "negative" "image"
"2107" "image" "of"
"2108" "of" "tucson"
"2109" "tucson" "forgot"
"2110" "forgot" "education"
